"State","Account.Length","Area.Code","Phone","date_naissance"
"KS",128,415,"382-4657","9/11/1960"
"OH",107,415,"371-7191","9/30/1986"
"NJ",137,415,"358-1921","9/11/1892"
"OH",84,408,"375-9999","9/16/1920"
"OK",75,415,"330-6626","9/1/1942"
"AL",118,510,"391-8027","9/6/1978"
"MA",121,510,"355-9993","9/12/1988"
"MO",147,415,"329-9001","9/14/1954"
"LA",117,408,"335-4719","7/7/1956"
"WV",141,415,"330-8173","7/28/1990"
"IN",65,415,"329-6603","9/14/1927"
"RI",74,415,"344-9403","9/12/1924"
"IA",168,408,"363-1107","7/30/1937"
"MT",95,510,"394-8006","7/31/1947"
"IA",62,415,"366-9238","9/4/1986"
"NY",161,415,"351-7269","9/8/1977"
"ID",85,408,"350-8884","8/12/1930"
"VT",93,510,"386-2923","9/16/1950"
"VA",76,510,"356-2992","8/2/1994"
"TX",73,415,"373-2782","9/2/1971"
"FL",147,415,"396-5800","8/21/1984"
"CO",77,408,"393-7984","9/12/1980"
"AZ",130,415,"358-1958","8/15/1908"
"SC",111,415,"350-2565","9/9/1959"
"VA",132,510,"343-4696","9/30/1976"
"NE",174,415,"331-3698","8/21/1989"
"WY",57,408,"357-3817","8/9/1973"
"MT",54,408,"418-6412","9/3/1966"
"MO",20,415,"353-2630","9/23/1991"
"HI",49,510,"410-7789","9/2/1935"
"IL",142,415,"416-8428","9/29/1986"
"NH",75,510,"370-3359","7/30/1976"
"LA",172,408,"383-1121","8/7/1944"
"AZ",12,408,"360-1596","8/30/1944"
"OK",57,408,"395-2854","8/27/1920"
"GA",72,415,"362-1407","9/1/1987"
"AK",36,408,"341-9764","9/5/1958"
"MA",78,415,"353-3305","8/12/1978"
"AK",136,415,"402-1381","9/4/1963"
"NJ",149,408,"332-9891","9/23/1989"
"GA",98,408,"372-9976","8/28/1919"
"MD",135,408,"383-6029","8/18/1989"
"AR",34,510,"353-7289","9/5/1909"
"ID",160,415,"390-7274","9/7/1988"
"WI",64,510,"352-1237","9/8/1957"
"OR",59,408,"353-3061","8/19/1987"
"MI",65,415,"363-5450","9/10/1977"
"DE",142,408,"364-1995","8/9/1973"
"ID",119,415,"398-1294","9/19/1982"
"WY",97,415,"405-7146","9/8/1982"
"IA",52,408,"413-4957","8/22/1938"
"IN",60,408,"420-5645","9/1/1977"
"VA",10,408,"349-4396","8/13/1920"
"UT",96,415,"404-3211","8/24/1982"
"WY",87,415,"353-3759","7/28/1982"
"IN",81,408,"363-5947","9/6/1991"
"CO",141,415,"340-5121","8/11/1972"
"CO",121,408,"370-7574","8/28/1921"
"WI",68,415,"403-9733","8/23/1979"
"OK",125,408,"355-7251","8/6/1920"
"ID",174,408,"359-5893","9/5/1896"
"CA",116,415,"405-3371","9/9/1988"
"MN",74,510,"344-5117","9/2/1964"
"SD",149,408,"332-8160","9/11/1951"
"NC",38,408,"359-4081","9/26/1990"
"WA",40,415,"352-8305","9/1/1899"
"WY",43,415,"329-9847","8/29/1992"
"MN",113,408,"365-9011","9/8/1991"
"UT",126,408,"338-9472","8/27/1894"
"TX",150,510,"374-8042","7/6/1944"
"NJ",138,408,"359-1231","9/1/1897"
"MN",162,510,"413-7170","8/7/1974"
"NM",147,510,"415-2935","9/20/1969"
"NV",90,415,"399-4246","8/1/1989"
"HI",85,415,"362-5889","7/8/1939"
"MN",50,415,"350-8921","7/31/1994"
"DC",82,415,"374-5353","8/31/1919"
"NY",144,408,"360-1171","9/26/1988"
"MN",46,415,"355-8887","8/13/1901"
"MD",70,408,"333-1967","8/10/1937"
"WV",144,415,"354-4577","9/30/1972"
"OR",116,415,"331-7425","9/3/1973"
"CO",55,408,"419-2637","9/18/1979"
"GA",70,415,"411-1530","9/2/1909"
"TX",106,510,"395-3026","9/4/1988"
"VT",128,510,"388-6441","8/29/1990"
"IN",94,408,"402-1251","9/22/1982"
