customer_id|customer_name|first_order_date
C0001|Angeles McLaughlin PhD|2001-10-29
C0002|Ailene Hermann|2004-01-02
C0003|Mr. Kolten Wyman Jr.|2004-01-02
C0004|Aileen Barton|2004-01-04
C0005|Etta Franecki MD|2004-01-04
C0006|Wendi Purdy|2004-01-05
C0007|Shantel Jenkins|2004-01-06
C0008|Krista Hartmann|2004-01-08
C0009|Essence Metz DDS|2004-01-09
C0010|Garfield Hammes|2004-01-09
C0011|Parker Bailey DVM|2004-01-09
C0012|Ms. Iliana O'Conner|2004-01-10
C0013|Ms. Erica Gottlieb|2004-01-11
C0014|Iesha Mraz|2004-01-12
C0015|Dr. Crawford Mayert|2004-01-13
C0016|Yetta Gorczany MD|2004-01-13
C0017|Somer Turcotte|2004-01-14
C0018|Anjelica Klocko|2004-01-15
C0019|Elinore Doyle|2004-01-15
C0020|Berkley Ernser DDS|2004-01-16
C0021|Johney Mayer|2004-01-16
C0022|Mr. Hosie Howell PhD|2004-01-17
C0023|Dr. Patti Rempel|2004-01-20
C0024|Mrs. Anice O'Hara DDS|2004-01-20
C0025|Shari Rowe PhD|2004-01-20
C0026|Yessenia Rempel|2004-01-20
C0027|Celine Wisozk|2004-01-21
C0028|Mr. Lary Champlin|2004-01-21
C0029|Kizzy Doyle|2004-01-24
C0030|Christal Dooley|2004-01-25
C0031|Gayle Kuphal|2004-01-25
C0032|Dr. Flint Zboncak|2004-01-27
C0033|Vic Volkman|2004-01-27
C0034|Mrs. Makenna Bernier PhD|2004-01-28
C0035|Dr. Rayburn Wilkinson I|2004-01-30
C0036|Mozell Greenfelder DDS|2004-01-30
C0037|Chase Skiles|2004-01-31
C0038|Ingrid O'Kon MD|2004-02-01
C0039|Lacy Connelly MD|2004-02-01
C0040|Jeremie Wehner V|2004-02-02
C0041|Jimmie Herzog|2004-02-02
C0042|Mr. Saverio Weimann II|2004-02-02
C0043|Burns Mayer|2004-02-03
C0044|Miss Haleigh Wilkinson|2004-02-03
C0045|Lindy Pagac|2004-02-04
C0046|Pat Nitzsche PhD|2004-02-04
C0047|Antonio Bechtelar V|2004-02-05
C0048|Fount Flatley|2004-02-06
C0049|Shania Stamm DDS|2004-02-06
C0050|Saint Doyle|2004-02-07
C0051|Suzette Hartmann|2004-02-08
C0052|Miss Lovie Keeling DVM|2004-02-09
C0053|Dr. Jett Schaefer|2004-02-10
C0054|Sadie Upton|2004-02-10
C0055|Verlene Emmerich|2004-02-10
C0056|Lyndsey Heidenreich|2004-02-11
C0057|Gabriel Schiller|2004-02-13
C0058|Jayvion Cummings|2004-02-14
C0059|Mac Kertzmann|2004-02-14
C0060|Mr. Armin Klocko IV|2004-02-14
C0061|Claire Torp|2004-02-15
C0062|Odessa Haag|2004-02-15
C0063|Isabela Mertz MD|2004-02-16
C0064|Theo Buckridge|2004-02-16
C0065|Dr. Cheyenne Dach DVM|2004-02-17
C0066|Jeanette Lind|2004-02-17
C0067|Julisa Halvorson|2004-02-17
C0068|Ms. Leaner Jacobs PhD|2004-02-17
C0069|Dr. Sherie Mayer|2004-02-19
C0070|Lane Roberts|2004-02-19
C0071|Ewart Haag|2004-02-20
C0072|Roger Green|2004-02-21
C0073|Devon Osinski DVM|2004-02-22
C0074|Latoya Stanton|2004-02-22
C0075|Venice Smith|2004-02-22
C0076|Alvera Balistreri|2004-02-23
C0077|Casen Blick V|2004-02-23
C0078|Jabbar Dickens|2004-02-23
C0079|Dr. Jeff Bartoletti|2004-02-24
C0080|Mr. Manuel DuBuque|2004-02-24
C0081|Bobby Corwin|2004-02-25
C0082|Cristine Baumbach|2004-02-25
C0083|Hilma Little|2004-02-25
C0084|Nico Dickinson|2004-02-26
C0085|Shaun Rempel|2004-02-26
C0086|Claudette Cummings DVM|2004-02-27
C0087|Dennie Powlowski|2004-02-27
C0088|Hiroshi Terry|2004-02-27
C0089|Jeraldine Waelchi|2004-02-27
C0090|Londyn Reinger|2004-02-27
C0091|Miss Chante Stoltenberg PhD|2004-02-27
C0092|Anabel Jakubowski PhD|2004-02-28
C0093|Curtis Runolfsdottir|2004-02-28
C0094|Donaciano Corwin|2004-02-28
C0095|Luka Langosh|2004-02-28
C0096|Brayan Terry|2004-02-29
C0097|Florine Jones|2004-02-29
C0098|Mariano Lueilwitz|2004-02-29
C0099|Mr. Erin Zboncak IV|2004-02-29
C0100|Prudie Kertzmann|2004-02-29
C0101|Romaine McCullough|2004-02-29
C0102|Imani Swift|2004-03-01
C0103|Marci Nader|2004-03-01
C0104|Dr. Micayla Kutch|2004-03-02
C0105|Dulce Wintheiser|2004-03-02
C0106|Murl Dicki|2004-03-02
C0107|Lillianna Larkin|2004-03-03
C0108|Soren Gleason|2004-03-03
C0109|Claus Bradtke|2004-03-04
C0110|Pink Murazik|2004-03-04
C0111|Bascom Prosacco|2004-03-05
C0112|Izetta Stracke|2004-03-05
C0113|Joana Crist|2004-03-05
C0114|Yazmin Borer MD|2004-03-05
C0115|Hosteen Jacobi|2004-03-06
C0116|Mrs. Danika Schulist|2004-03-06
C0117|Mrs. Kyrie Funk|2004-03-06
C0118|Mrs. Vernie Ryan MD|2004-03-06
C0119|Shelton Hudson|2004-03-06
C0120|Lakeshia Harris|2004-03-07
C0121|Mrs. Lois Russel|2004-03-07
C0122|Ms. Gracie Willms|2004-03-07
C0123|Uriah West|2004-03-07
C0124|Waldemar Greenholt|2004-03-07
C0125|Emanuel Reichert|2004-03-08
C0126|Ms. Giada Weissnat|2004-03-08
C0127|Myer Stokes|2004-03-08
C0128|Warren Osinski|2004-03-08
C0129|Yoselin Bauch|2004-03-08
C0130|Dr. Letta Daniel MD|2004-03-09
C0131|Kalvin Prosacco|2004-03-09
C0132|Leala Schuppe MD|2004-03-09
C0133|Jerold Sporer|2004-03-10
C0134|Kyla Orn|2004-03-10
C0135|Ms. Katrina Barton PhD|2004-03-10
C0136|Odie Jacobs|2004-03-10
C0137|Elinor Howell|2004-03-11
C0138|Kristian Heaney|2004-03-11
C0139|Lisandro Kassulke|2004-03-11
C0140|Helyn Ondricka|2004-03-12
